ID,Nombre,Código,Nemotécnico,Número,Propietario,Tiene SCADA,Tiene Equipos Com,Tiene Pararrayos
356,S/E EL PEÑON,SE005,SE005T0058,5,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
357,S/E EL SAUCE,SE006,SE006T0058,6,CGE TRANSMISIÓN S.A.,Sí,No,Sí
358,S/E ESCUADRON (CGE),SE007,SE007T0058,7,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
359,S/E RAUQUEN,SE008,SE008T0058,8,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
360,S/E MOLINA,SE009,SE009T0058,9,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
361,S/E LA PALMA,SE010,SE010T0058,10,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
362,S/E LEBU,SE011,SE011T0058,11,CGE TRANSMISIÓN S.A.,No,No,Sí
363,S/E GRANEROS,SE012,SE012T0058,12,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
364,S/E CURACAUTIN,SE013,SE013T0058,13,CGE TRANSMISIÓN S.A.,No,Sí,Sí
365,S/E HORCONES,SE014,SE014T0058,14,CGE TRANSMISIÓN S.A.,Sí,Sí,No
366,S/E HOSPITAL,SE015,SE015T0058,15,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
367,S/E ILLAPEL,SE016,SE016T0058,16,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
368,S/E INCAHUASI,SE017,SE017T0058,17,CGE TRANSMISIÓN S.A.,Sí,No,Sí
369,S/E LA RONDA,SE018,SE018T0058,18,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
370,S/E LAS CABRAS,SE019,SE019T0058,19,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
371,S/E LAS COMPAÑIAS,SE020,SE020T0058,20,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
372,S/E LATORRE,SE021,SE021T0058,21,CGE TRANSMISIÓN S.A.,Sí,No,Sí
373,S/E ALAMEDA,SE022,SE022T0058,22,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
374,S/E FATIMA,SE023,SE023T0058,23,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
375,S/E CHILLAN,SE024,SE024T0058,24,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
376,S/E ALONSO DE RIBERA,SE025,SE025T0058,25,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
377,S/E ANDACOLLO,SE026,SE026T0058,26,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
378,S/E ANDALIEN,SE027,SE027T0058,27,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
379,S/E ANGOL,SE028,SE028T0058,28,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
380,S/E ARENAS BLANCAS,SE029,SE029T0058,29,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
381,S/E BUIN (CGE),SE030,SE030T0058,30,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
382,S/E CABILDO,SE031,SE031T0058,31,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
383,S/E CACHAPOAL,SE032,SE032T0058,32,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
384,S/E CARAMPANGUE,SE033,SE033T0058,33,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
385,S/E DUQUECO,SE034,SE034T0025,34,EMPRESA DE TRANSMISIÓN ELÉCTRICA TRANSEMEL S.A.,No,No,No
386,S/E CHIGUAYANTE,SE035,SE035T0058,35,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
387,S/E CURANILAHUE,SE036,SE036T0058,36,CGE TRANSMISIÓN S.A.,Sí,No,Sí
388,S/E CHIMBARONGO,SE037,SE037T0058,37,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
389,S/E CHIVILCAN,SE038,SE038T0058,38,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
390,S/E CHOAPA,SE039,SE039T0058,39,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
391,S/E CHUMAQUITO,SE040,SE040T0058,40,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
