ID,Nombre,Tipo,Propietario,Región,Comuna,Nemotécnico,Coordinado
145,PE MONTE REDONDO,Eólicas,EÓLICA MONTE REDONDO SPA,Coquimbo,Ovalle,CE01G0050,EÓLICA MONTE REDONDO SPA
154,TER NEWEN,Termoeléctricas,GAS SUR S.A.,Biobío,Hualpén,CE01G0048,GAS SUR S.A.
155,TER TERMOPACIFICO,Termoeléctricas,GENERADORA DEL PACÍFICO SPA,Atacama,Copiapó,CE01G0052,GENERADORA DEL PACÍFICO SPA
157,HP BLANCO,Hidroeléctricas,COLBÚN S.A.,Valparaíso,Los Andes,CE18G0004,COLBÚN S.A.
158,HP JUNCAL,Hidroeléctricas,COLBÚN S.A.,Valparaíso,Los Andes,CE19G0004,COLBÚN S.A.
159,HP LOS QUILOS,Hidroeléctricas,COLBÚN S.A.,Valparaíso,San Esteban,CE21G0004,COLBÚN S.A.
160,HP LA CONFLUENCIA,Hidroeléctricas,HIDROELÉCTRICA LA CONFLUENCIA S.A.,OHiggins,San Fernando,CE01G0078,HIDROELÉCTRICA LA CONFLUENCIA S.A.
161,TER COLMITO,Termoeléctricas,CENTRAL COLMITO S.A.,Valparaíso,Concón,CE01G0123,CENTRAL COLMITO S.A.
162,HP LA HIGUERA,Hidroeléctricas,HIDROELÉCTRICA LA HIGUERA S.A.,OHiggins,San Fernando,CE02G0043,HIDROELÉCTRICA LA HIGUERA S.A.
163,HP LIRCAY,Hidroeléctricas,HIDROELÉCTRICA RÍO LIRCAY S.A.,Maule,San Clemente,CE02G0071,HIDROELÉCTRICA RÍO LIRCAY S.A.
164,HP MAMPIL,Hidroeléctricas,DUQUECO SPA,Biobío,Santa Bárbara,CE01G0014,AELA GENERACIÓN S.A.
165,HP PEUCHEN,Hidroeléctricas,DUQUECO SPA,Biobío,Santa Bárbara,CE02G0014,AELA GENERACIÓN S.A.
166,TER LOMA LOS COLORADOS II,Termoeléctricas,KDM ENERGÍA S.A.,Metropolitana,Tiltil,CE02G0059,KDM ENERGÍA S.A.
167,TER LOS ESPINOS,Termoeléctricas,ESPINOS S.A.,Coquimbo,Los Vilos,CE01G0042,ESPINOS S.A.
168,TER MASISA,Termoeléctricas,NEOMAS SPA,Biobío,Cabrero,CE01G0079,NEOMAS SPA
170,PE TOTORAL,Eólicas,NORVIND S.A.,Coquimbo,Canela,CE01G0051,COLBÚN S.A.
171,TER ESCUADRON,Termoeléctricas,ELÉCTRICA NUEVA ENERGÍA S.A.,Biobío,Coronel,CE01G0032,ELÉCTRICA NUEVA ENERGÍA S.A.
173,HP CHACABUQUITO,Hidroeléctricas,COLBÚN S.A.,Valparaíso,San Esteban,CE16G0004,COLBÚN S.A.
174,HP COYA,Hidroeléctricas,PACIFIC HYDRO CHILE S.A.,OHiggins,Machalí,CE02G0030,PACIFIC HYDRO CHILE S.A.
176,TER CHOLGUAN,Termoeléctricas,MADERAS ARAUCO S.A.,Ñuble,Yungay,CE02L0003,ARAUCO BIOENERGÍA SPA
178,HE PANGUE,Hidroeléctricas,ENEL GENERACIÓN CHILE S.A.,Biobío,Alto Biobío,CE16G0021,ENEL GENERACIÓN CHILE S.A.
179,HP CURILLINQUE,Hidroeléctricas,EMPRESA ELÉCTRICA PEHUENCHE S.A.,Maule,San Clemente,CE01G0017,EMPRESA ELÉCTRICA PEHUENCHE S.A.
180,HP LOMA ALTA,Hidroeléctricas,EMPRESA ELÉCTRICA PEHUENCHE S.A.,Maule,San Clemente,CE02G0017,EMPRESA ELÉCTRICA PEHUENCHE S.A.
181,HE PEHUENCHE,Hidroeléctricas,EMPRESA ELÉCTRICA PEHUENCHE S.A.,Maule,Colbún,CE03G0017,EMPRESA ELÉCTRICA PEHUENCHE S.A.
182,TER PETROPOWER,Termoeléctricas,ENAP REFINERÍAS S.A.,Biobío,Hualpén,CE01L0034,ENAP REFINERÍAS S.A.
183,TER OLIVOS,Termoeléctricas,ESPINOS S.A.,Coquimbo,Los Vilos,CE02G0042,ESPINOS S.A.
184,HP HORNITOS,Hidroeléctricas,RÍO TRANQUILO S.A.,Valparaíso,Los Andes,CE01G0036,COLBÚN S.A.
185,TER CALLE CALLE,Termoeléctricas,SAGESA S.A.,Los Ríos,Valdivia,CE14G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
186,TER CHUYACA,Termoeléctricas,SAGESA S.A.,Los Lagos,Osorno,CE10G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
187,TER CORONEL,Termoeléctricas,SAGESA S.A.,Biobío,Coronel,CE05G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
188,TER TRINCAO,Termoeléctricas,ENERGÍA SIETE SPA,Los Lagos,Quellón,CE11G0402,ENERGÍA SIETE SPA
191,HP FLORIDA,Hidroeléctricas,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,Metropolitana,La Florida,CE06G0012,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO
192,HP FLORIDA II,Hidroeléctricas,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,Metropolitana,La Florida,CE07G0012,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO
193,HP FLORIDA III,Hidroeléctricas,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,Metropolitana,La Florida,CE08G0012,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO
194,TER EL SALVADOR,Termoeléctricas,ASESORÍAS G-51 SPA,Atacama,Diego de Almagro,CE01G0886,ASESORÍAS G-51 SPA
195,TER CARDONES,Termoeléctricas,CENTRAL CARDONES S.A.,Atacama,Copiapó,CE01G0047,CENTRAL CARDONES S.A.
197,TER NEHUENCO,Termoeléctricas,COLBÚN S.A.,Valparaíso,Quillota,CE04G0004,COLBÚN S.A.
198,TER NEHUENCO II,Termoeléctricas,COLBÚN S.A.,Valparaíso,Quillota,CE05G0004,COLBÚN S.A.
199,TER NUEVA RENCA,Termoeléctricas,GENERADORA METROPOLITANA SPA,Metropolitana,Renca,CE01G0434,GENERADORA METROPOLITANA SPA
